음식명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
None, 0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00
쌀밥,210.00 ,334.80 ,73.71 ,0.00 ,0.45 ,5.76 ,3.60 ,126.00 ,59.40 ,146.70 ,-,0.36 ,1.35 ,0.00 ,0.00 
기타잡곡밥,200.00 ,302.36 ,65.52 ,0.00 ,0.75 ,6.71 ,12.06 ,117.84 ,3.39 ,166.72 ,6.90 ,1.74 ,1.83 ,0.00 ,0.00 
콩밥,200.00 ,322.90 ,65.85 ,0.00 ,1.67 ,8.43 ,24.70 ,126.90 ,4.10 ,258.40 ,22.50 ,1.74 ,1.61 ,0.00 ,0.00 
보리밥,200.00 ,316.10 ,70.57 ,0.00 ,0.14 ,5.55 ,6.70 ,68.80 ,4.50 ,100.60 ,0.00 ,1.26 ,1.41 ,0.00 ,0.00 
돌솥밥,350.00 ,528.86 ,101.85 ,0.00 ,8.35 ,10.19 ,61.46 ,193.72 ,618.32 ,624.32 ,57.79 ,3.32 ,2.58 ,2.37 ,0.00 
현미밥,230.00 ,351.35 ,77.88 ,0.00 ,1.10 ,6.66 ,6.01 ,178.28 ,42.08 ,209.33 ,0.00 ,1.05 ,1.65 ,0.00 ,0.00 
흑미밥,200.00 ,318.00 ,70.29 ,0.00 ,0.39 ,5.44 ,6.30 ,98.60 ,4.50 ,112.90 ,0.00 ,1.29 ,1.35 ,0.00 ,0.00 
감자밥,200.00 ,308.00 ,68.64 ,0.00 ,0.08 ,5.68 ,6.40 ,86.80 ,5.20 ,267.60 ,9.20 ,1.36 ,1.40 ,0.00 ,0.00 
곤드레밥,350.00 ,506.80 ,108.05 ,0.00 ,8.37 ,14.14 ,30.32 ,95.48 ,88.75 ,815.92 ,22.40 ,1.88 ,1.78 ,0.00 ,0.00 
김치볶음밥,500.00 ,656.98 ,79.29 ,4.00 ,5.06 ,8.74 ,35.89 ,182.12 ,1094.91 ,305.71 ,1.92 ,1.06 ,1.85 ,76.00 ,0.00 
주먹밥,150.00 ,209.56 ,36.18 ,0.00 ,3.46 ,6.70 ,85.43 ,151.23 ,329.69 ,179.33 ,0.00 ,0.70 ,0.80 ,50.13 ,0.00 
볶음밥,400.00 ,687.74 ,100.33 ,0.00 ,19.29 ,24.46 ,58.42 ,414.66 ,1441.42 ,578.88 ,14.98 ,3.29 ,3.45 ,309.00 ,0.00 
일반비빔밥,500.00 ,703.00 ,95.68 ,3.44 ,25.28 ,22.60 ,96.80 ,289.33 ,1234.09 ,742.51 ,55.80 ,4.75 ,4.16 ,40.20 ,0.00 
전주비빔밥,450.00 ,662.19 ,92.99 ,3.44 ,13.03 ,15.84 ,65.04 ,236.12 ,1281.30 ,450.11 ,10.84 ,3.24 ,2.86 ,286.94 ,0.00 
삼선볶음밥,400.00 ,683.62 ,113.43 ,5.09 ,16.84 ,19.26 ,119.37 ,249.11 ,1155.81 ,640.97 ,29.67 ,4.52 ,3.57 ,119.13 ,0.00 
새우볶음밥,400.00 ,634.52 ,91.62 ,0.00 ,17.91 ,24.12 ,81.82 ,341.30 ,1124.63 ,710.66 ,17.68 ,4.15 ,2.82 ,127.20 ,0.00 
알밥,400.00 ,606.54 ,92.10 ,0.00 ,3.45 ,15.16 ,68.60 ,235.40 ,1647.87 ,510.41 ,7.40 ,3.56 ,3.30 ,39.00 ,0.00 
산채비빔밥 ,400.00 ,495.89 ,89.66 ,0.52 ,10.99 ,10.66 ,63.10 ,160.29 ,1060.78 ,509.95 ,38.81 ,3.53 ,2.05 ,0.00 ,0.00 
오므라이스,450.00 ,684.99 ,101.62 ,0.00 ,19.75 ,23.15 ,81.56 ,341.26 ,1123.24 ,788.38 ,33.71 ,4.13 ,3.67 ,605.63 ,0.00 
육회비빔밥,450.00 ,661.41 ,91.74 ,2.58 ,17.54 ,32.00 ,86.38 ,404.74 ,1126.60 ,793.74 ,33.58 ,5.97 ,6.53 ,241.65 ,0.00 
해물볶음밥,400.00 ,659.23 ,85.19 ,0.00 ,23.71 ,22.68 ,77.50 ,305.55 ,951.03 ,555.36 ,24.20 ,4.13 ,3.08 ,362.40 ,0.00 
열무비빔밥,400.00 ,445.66 ,90.03 ,1.72 ,3.16 ,12.99 ,91.06 ,167.96 ,718.39 ,708.68 ,1.29 ,3.91 ,2.65 ,12.80 ,0.00 
불고기덮밥,500.00 ,699.96 ,92.09 ,5.99 ,21.40 ,29.31 ,45.77 ,328.37 ,1182.88 ,764.50 ,30.22 ,4.25 ,8.77 ,72.00 ,0.00 
소고기국밥,700.00 ,331.71 ,54.93 ,0.00 ,4.74 ,16.04 ,33.02 ,194.58 ,1613.21 ,485.21 ,-,3.61 ,2.31 ,25.50 ,0.00 
송이덮밥,600.00 ,600.42 ,103.57 ,0.00 ,14.45 ,16.28 ,91.94 ,279.96 ,1578.85 ,1313.48 ,-,5.71 ,4.25 ,9.54 ,0.00 
오징어덮밥,500.00 ,693.98 ,83.43 ,2.69 ,20.92 ,40.59 ,76.77 ,586.83 ,1497.37 ,874.96 ,62.69 ,3.23 ,4.63 ,387.60 ,0.00 
자장밥,500.00 ,729.62 ,98.08 ,4.00 ,24.95 ,25.76 ,81.91 ,297.12 ,1521.85 ,781.93 ,32.50 ,5.70 ,5.68 ,36.00 ,0.00 
잡채밥,650.00 ,851.54 ,125.70 ,4.00 ,28.61 ,21.14 ,84.11 ,287.78 ,2251.34 ,817.08 ,32.55 ,4.83 ,5.90 ,36.00 ,0.00 
잡탕밥,750.00 ,737.23 ,100.55 ,0.00 ,22.48 ,29.02 ,77.60 ,363.25 ,1922.14 ,803.73 ,15.65 ,4.86 ,6.22 ,188.05 ,0.00 
장어덮밥,400.00 ,671.72 ,103.04 ,0.00 ,19.24 ,26.14 ,611.12 ,448.26 ,893.22 ,785.08 ,28.60 ,22.17 ,4.75 ,156.96 ,0.00 
제육덮밥,500.00 ,796.94 ,95.80 ,5.40 ,27.52 ,37.80 ,46.04 ,573.70 ,1375.69 ,624.95 ,-,6.28 ,7.17 ,108.00 ,0.00 
짬뽕밥,900.00 ,696.69 ,93.42 ,0.00 ,22.42 ,41.80 ,394.17 ,667.61 ,2869.54 ,1715.52 ,-,11.59 ,5.57 ,304.30 ,0.00 
순대국밥,900.00 ,690.35 ,34.23 ,0.00 ,16.48 ,17.34 ,132.86 ,239.26 ,3418.20 ,672.91 ,3.45 ,9.11 ,6.62 ,1480.97 ,0.00 
카레라이스,500.00 ,653.24 ,92.58 ,0.00 ,10.67 ,13.40 ,27.90 ,218.24 ,1108.55 ,525.62 ,70.18 ,1.98 ,2.66 ,13.75 ,0.00 
전주콩나물국밥,900.00 ,432.38 ,88.73 ,0.00 ,3.53 ,12.50 ,76.88 ,231.65 ,1753.26 ,525.79 ,67.79 ,2.38 ,2.37 ,2.77 ,0.00 
해물덮밥,700.00 ,837.98 ,100.11 ,0.00 ,29.00 ,51.77 ,167.54 ,542.32 ,2117.83 ,1361.77 ,34.80 ,16.63 ,5.86 ,293.87 ,0.00 
회덮밥,500.00 ,698.00 ,101.75 ,18.41 ,11.40 ,42.99 ,117.12 ,587.94 ,777.63 ,1131.35 ,6.98 ,3.90 ,2.67 ,125.59 ,0.00 
소머리국밥,1100.00 ,891.43 ,77.06 ,0.00 ,40.76 ,48.94 ,53.26 ,302.43 ,970.90 ,455.78 ,24.67 ,1.89 ,4.22 ,477.10 ,0.00 
돼지국밥,1200.00 ,811.44 ,78.28 ,3.30 ,36.45 ,56.76 ,65.73 ,280.74 ,1257.67 ,497.83 ,57.14 ,42.95 ,43.67 ,734.50 ,0.00 
하이라이스,360.00 ,477.60 ,84.59 ,0.00 ,9.67 ,7.92 ,5.94 ,139.95 ,991.68 ,251.61 ,6.60 ,0.55 ,1.51 ,8.57 ,0.00 
김치김밥,250.00 ,377.26 ,71.80 ,0.00 ,4.62 ,11.45 ,79.06 ,220.20 ,967.79 ,413.86 ,3.60 ,1.46 ,1.96 ,99.60 ,0.00 
농어초밥,250.00 ,414.78 ,74.14 ,6.97 ,2.37 ,19.93 ,54.13 ,273.49 ,1385.46 ,479.70 ,0.00 ,1.58 ,1.67 ,43.47 ,0.00 
문어초밥,250.00 ,377.97 ,71.84 ,4.98 ,1.03 ,16.90 ,30.20 ,256.61 ,1420.92 ,395.09 ,25.75 ,1.11 ,2.52 ,96.00 ,0.00 
새우초밥,250.00 ,395.54 ,69.54 ,2.99 ,1.21 ,22.74 ,73.39 ,341.13 ,1396.75 ,372.75 ,2.60 ,2.62 ,2.17 ,138.33 ,0.00 
새우튀김롤,300.00 ,572.02 ,81.50 ,4.00 ,18.90 ,21.11 ,110.82 ,371.52 ,1512.50 ,715.82 ,0.24 ,3.42 ,2.49 ,96.54 ,0.00 
샐러드김밥,250.00 ,422.43 ,75.84 ,0.00 ,7.51 ,12.76 ,45.66 ,226.51 ,906.68 ,541.33 ,13.74 ,2.15 ,2.24 ,100.53 ,0.00 
광어초밥,300.00 ,471.66 ,72.53 ,5.23 ,3.21 ,33.74 ,88.07 ,410.89 ,951.28 ,747.09 ,1.40 ,2.96 ,1.94 ,126.50 ,0.00 
소고기김밥,250.00 ,425.67 ,76.07 ,0.00 ,6.64 ,14.67 ,64.33 ,236.14 ,1477.98 ,554.00 ,12.52 ,2.27 ,2.61 ,99.87 ,0.00 
갈비삼각김밥,100.00 ,183.18 ,32.75 ,0.00 ,2.60 ,6.86 ,14.93 ,90.90 ,398.12 ,180.59 ,4.93 ,1.16 ,1.17 ,12.42 ,0.00 
연어롤 ,300.00 ,518.58 ,76.11 ,0.00 ,14.72 ,20.72 ,64.97 ,359.16 ,1243.82 ,665.56 ,23.58 ,3.83 ,2.14 ,51.73 ,0.00 
연어초밥,250.00 ,451.03 ,70.87 ,3.96 ,5.76 ,24.94 ,38.03 ,367.08 ,995.03 ,476.13 ,0.80 ,1.69 ,1.87 ,54.60 ,0.00 
유부초밥,250.00 ,463.21 ,78.47 ,6.77 ,11.23 ,12.37 ,120.18 ,225.59 ,929.07 ,291.50 ,27.28 ,2.11 ,2.14 ,0.00 ,0.00 
장어초밥,400.00 ,486.35 ,74.84 ,2.06 ,12.73 ,16.33 ,132.83 ,283.27 ,1291.81 ,500.64 ,14.55 ,2.52 ,2.39 ,130.43 ,0.00 
참치김밥,250.00 ,401.22 ,47.55 ,0.00 ,14.59 ,19.83 ,57.81 ,279.82 ,925.73 ,380.33 ,15.63 ,4.52 ,1.96 ,143.67 ,0.00 
참치마요삼각김밥,100.00 ,189.58 ,31.93 ,0.00 ,2.89 ,8.11 ,6.98 ,82.82 ,189.10 ,69.28 ,0.00 ,1.59 ,0.77 ,16.63 ,0.00 
치즈김밥 ,250.00 ,462.23 ,77.13 ,0.00 ,8.84 ,17.12 ,137.52 ,330.23 ,919.97 ,445.72 ,10.18 ,1.43 ,2.53 ,83.02 ,0.00 
캘리포니아롤,300.00 ,468.16 ,81.22 ,0.00 ,9.73 ,12.80 ,106.58 ,211.89 ,1351.96 ,271.15 ,3.06 ,4.95 ,3.08 ,28.34 ,0.00 
한치초밥,250.00 ,389.96 ,77.31 ,1.74 ,1.20 ,13.54 ,19.98 ,222.63 ,1153.49 ,182.25 ,1.65 ,1.86 ,2.54 ,0.75 ,0.00 
일반김밥,200.00 ,348.87 ,63.64 ,0.00 ,5.42 ,10.28 ,41.45 ,159.43 ,951.32 ,355.38 ,3.24 ,3.40 ,1.91 ,69.12 ,0.00 
간자장,650.00 ,807.74 ,121.75 ,6.79 ,26.38 ,29.28 ,124.35 ,308.09 ,2347.77 ,607.18 ,21.25 ,7.06 ,2.61 ,19.43 ,0.00 
굴짬뽕,900.00 ,640.77 ,115.82 ,2.00 ,7.76 ,37.39 ,196.77 ,506.60 ,2385.35 ,1371.89 ,48.86 ,14.28 ,10.34 ,178.20 ,0.00 
기스면,1000.00 ,645.61 ,98.30 ,0.00 ,11.00 ,43.52 ,270.98 ,443.37 ,2279.52 ,862.72 ,11.60 ,12.27 ,3.13 ,341.10 ,0.00 
김치라면,650.00 ,512.26 ,80.57 ,2.27 ,20.34 ,12.97 ,62.70 ,166.94 ,2628.29 ,652.67 ,1.50 ,1.82 ,1.30 ,15.41 ,0.00 
김치우동,800.00 ,512.71 ,99.06 ,0.00 ,4.74 ,16.74 ,247.86 ,233.55 ,3003.05 ,725.53 ,11.20 ,4.14 ,1.76 ,33.44 ,0.00 
김치말이국수,600.00 ,310.38 ,60.76 ,3.00 ,2.47 ,10.42 ,105.79 ,191.00 ,2335.45 ,453.96 ,-,2.43 ,1.43 ,22.23 ,0.00 
닭칼국수,900.00 ,643.10 ,70.24 ,0.00 ,19.59 ,39.86 ,110.16 ,285.97 ,2492.77 ,913.48 ,5.78 ,2.45 ,1.64 ,113.77 ,0.00 
