age,kcal,carbohydrate_RNI,protein_RNI,calcium_RNI,phosphorus_RNI,phosphorus_UL,natrium_AI,natrium_UL,kalium_AI,magnesium_RNI,iron_RNI,iron_UL,zinc_RNI,zinc_UL,cholesterol_UL
1~2,900,130,20,500,450,3000,810,1200,1900,70,6,40,3,6,-
3~5,1400,130,25,600,550,3000,1000,1600,2400,110,7,40,4,9,-
6~8,1500,130,35,700,550,3000,1200,1900,2900,150,9,40,5,13,-
9~11,1800,130,45,800,1200,3500,1500,2300,3400,220,10,40,8,19,-
12~14,2000,130,55,900,1200,3500,1500,2300,3500,290,16,40,8,27,-
15~18,2000,130,55,800,1200,3500,1500,2300,3500,340,14,45,9,33,-
19~29,2000,130,55,700,700,3500,1500,2300,3500,280,14,45,8,35,300
30~49,1900,130,50,700,700,3500,1500,2300,3500,280,14,45,8,35,300
50~64,1700,130,50,800,700,3500,1500,2300,3500,280,8,45,8,35,300
65~74,1600,130,50,800,700,3500,1300,2100,3500,280,8,45,7,35,300
75~,1500,130,50,800,700,3000,1100,1700,3500,280,7,45,7,35,300
